example_id,vuln_id,granularity,crate_name,year,is_vulnerable_gt,cwe_types_gt,is_valid_json,is_vulnerable_pred,cwe_types_pred,binary_accuracy,cwe_tp,cwe_fp,cwe_fn,function_tp,function_fp,function_fn,line_tp,line_fp,line_fn,success_at_1_function,success_at_1_line,model
vuln-0033/sample-00033-crate,vuln-0033,crate,rusqlite,2020.0,True,"[""CWE-134""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0033/sample-10033-crate,vuln-0033,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0034/sample-00034-crate,vuln-0034,crate,rusqlite,2020.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0034/sample-10034-crate,vuln-0034,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0035/sample-00035-crate,vuln-0035,crate,rusqlite,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,4,0.0,0.0,GPT-4.1
vuln-0035/sample-10035-crate,vuln-0035,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0036/sample-00036-crate,vuln-0036,crate,rusqlite,2020.0,True,"[""CWE-351""]",True,False,[],0.0,0,0,1,0,0,2,0,0,3,0.0,0.0,GPT-4.1
vuln-0036/sample-10036-crate,vuln-0036,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0037/sample-00037-crate,vuln-0037,crate,rusqlite,2020.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0037/sample-10037-crate,vuln-0037,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0038/sample-00038-crate,vuln-0038,crate,scanner,2019.0,True,"[""CWE-125""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-125"", ""CWE-190""]",1.0,1,3,0,2,2,0,0,7,2,1.0,0.0,GPT-4.1
vuln-0038/sample-00038-function,vuln-0038,function,scanner,2019.0,True,"[""CWE-125""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-129""]",1.0,0,3,1,2,0,0,2,0,0,1.0,1.0,GPT-4.1
vuln-0039/sample-00039-crate,vuln-0039,crate,smallvec,2019.0,True,"[""CWE-787""]",True,True,"[""CWE-824"", ""CWE-908"", ""CWE-119""]",1.0,0,3,1,0,3,1,0,3,1,0.0,0.0,GPT-4.1
vuln-0039/sample-00039-function,vuln-0039,function,smallvec,2019.0,True,"[""CWE-787""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0039/sample-10039-crate,vuln-0039,crate,smallvec,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0039/sample-10039-function,vuln-0039,function,smallvec,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0040/sample-00040-crate,vuln-0040,crate,mp3-metadata,2025.0,True,"[""CWE-119""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0040/sample-00040-function,vuln-0040,function,mp3-metadata,2025.0,True,"[""CWE-119""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0040/sample-10040-crate,vuln-0040,crate,mp3-metadata,2025.0,False,[],True,True,"[""CWE-119"", ""CWE-125""]",0.0,0,2,0,0,6,0,0,31,0,0.0,0.0,GPT-4.1
vuln-0040/sample-10040-function,vuln-0040,function,mp3-metadata,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0041/sample-00041-crate,vuln-0041,crate,xmas-elf,2025.0,True,[],True,True,"[""CWE-119"", ""CWE-125""]",1.0,0,2,0,2,0,0,2,0,0,1.0,1.0,GPT-4.1
vuln-0041/sample-00041-function,vuln-0041,function,xmas-elf,2025.0,True,[],True,True,"[""CWE-119"", ""CWE-787""]",1.0,0,2,0,2,0,0,2,2,0,1.0,1.0,GPT-4.1
vuln-0041/sample-10041-crate,vuln-0041,crate,xmas-elf,2025.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0041/sample-10041-function,vuln-0041,function,xmas-elf,2025.0,False,[],True,True,"[""CWE-125"", ""CWE-126""]",0.0,0,2,0,0,2,0,0,4,0,0.0,0.0,GPT-4.1
vuln-0042/sample-00042-crate,vuln-0042,crate,fast-float,2025.0,True,"[""CWE-119""]",True,True,"[""CWE-119"", ""CWE-125"", ""CWE-787""]",1.0,1,2,0,1,4,0,1,4,0,1.0,1.0,GPT-4.1
vuln-0042/sample-00042-file,vuln-0042,file,fast-float,2025.0,True,"[""CWE-119""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0042/sample-00042-function,vuln-0042,function,fast-float,2025.0,True,"[""CWE-119""]",True,True,"[""CWE-119""]",1.0,1,0,0,1,0,0,1,0,0,1.0,1.0,GPT-4.1
vuln-0042/sample-10042-crate,vuln-0042,crate,fast-float,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0042/sample-10042-file,vuln-0042,file,fast-float,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0042/sample-10042-function,vuln-0042,function,fast-float,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
